"","Percent.MT","S.Score","cnv_total","gains","losses","nCount_RNA","nFeature_RNA","G2M.Score","cell","Group","HALLMARK_APOPTOSIS1","HALLMARK_COAGULATION2","HALLMARK_COMPLEMENT3","HALLMARK_IL2_STAT5_SIGNALING4","HALLMARK_INFLAMMATORY_RESPONSE5","HALLMARK_INTERFERON_ALPHA_RESPONSE6","HALLMARK_INTERFERON_GAMMA_RESPONSE7","HALLMARK_TNFA_SIGNALING_VIA_NFKB8"
"1",5.35128603486967,-0.0561958624478641,2480,1431,1049,5793,3223,0.209977137629782,"untreated_01_22_73.S22A.1","untreated",0.0452325860491806,0.0247858867360447,0.0714496374800787,0.0255637019507196,0.0375798516353746,-0.113297399521912,-0.0530755454098029,-0.0458177773491115
"2",0.0627943485086342,0.367291727577708,1692,1135,557,3185,2248,0.0179119895974151,"untreated_01_48_11.S22A.1","untreated",0.0280228133012557,0.0242207312129649,-0.0275226139608039,0.101299335545874,0.0331791722436312,-0.152785771100797,-0.0897564846408927,0.0292299117078183
"3",15.3470836105567,-0.109112438851592,1512,862,650,4509,2556,-0.0410305099508947,"untreated_01_55_18.S22A.1","untreated",0.0758480295118357,0.0457955192432475,0.0494996476906432,0.115247320566305,0.0706193020754761,-0.0885189539217056,-0.0167619139031058,0.0624873286671428
"4",4.26470588235294,-0.0447070077880566,2387,1392,995,4080,2558,0.544936906033335,"untreated_01_73_45.S22A.1","untreated",0.054632312483379,0.0655131841148119,0.0665617707508976,0.0768940656634677,0.0225755163441351,-0.164127997347803,-0.0545950952875667,-0.016166903712386
"5",6.77366060892141,0.577661704904318,1581,955,626,4237,2589,-0.207922729229899,"untreated_01_89_38.S22A.1","untreated",0.13248200855612,0.0875183237122457,-0.00494867282194603,0.0937486880419065,0.0264581719344232,-0.0384102447578649,-0.0367416357437364,0.0941517770089314
"6",5.93274111675127,-0.309894107546344,2088,1159,929,6304,3325,-0.260587994128761,"untreated_02_06_04.S22A.1","untreated",0.121395705656234,0.0736095382910129,0.0731679038655878,0.161139563890941,0.0543517916995161,-0.0633992652839402,-0.0577311198173356,0.0935497353370579
"7",6.54480378371469,-0.19545916823384,3327,1483,1844,7823,3999,0.307357389875056,"untreated_02_07_89.S22A.1","untreated",0.0938220635929518,0.0289119307571828,0.0431021717926466,0.0909744766164885,0.0356614777764037,-0.0564575405707237,-0.00681055799044808,-0.0049518304703533
"8",10.5858759490044,0.229421783919703,2509,1089,1420,6981,3646,0.0171361650846619,"untreated_02_14_67.S22A.1","untreated",-0.00674310393002997,-0.00481156369692134,0.0197161055683084,0.0822789302748782,0.0308312751969054,-0.150925651676359,-0.085401545567867,0.0173064285272552
"9",10.2757068504712,-0.0592545840348616,3886,1827,2059,14218,5195,0.528008277093944,"untreated_02_15_67.S22A.1","untreated",0.131657176791798,0.0370278311842922,0.0329334094189976,0.0782678708983453,0.018876974759376,-0.140270682743724,-0.0639273969377,0.0664355649633526
"10",10.806697108067,-0.238830136676432,1032,464,568,3285,2099,0.204528319917381,"untreated_02_16_67.S22A.1","untreated",0.113335861386332,0.0615130203845881,0.0705188210588375,0.0471631748835208,0.0377322936494642,-0.126436470207046,-0.0883645883151714,0.0330877793018882
"11",9.40506843745765,0.472927123088095,2866,1212,1654,7379,3663,-0.0465890877176531,"untreated_02_17_79.S22A.1","untreated",0.107834312108566,0.049672252169128,0.0419277032988199,0.0721529239867147,0.0453777771229969,-0.0958530680170917,-0.00681887534529901,-0.00473664184052885
"12",9.87821380243572,-0.160243425204518,2428,1345,1083,5912,3156,0.232021502040513,"untreated_02_32_85.S22A.1","untreated",0.0439710651031837,0.0389074161125712,0.0694170974603312,0.0634437164838662,0.0378411594505454,-0.0560420153010489,-0.0445356610692738,0.0270279000032773
"13",16.2342767295597,0.0157984724653046,574,360,214,2544,1635,-0.101132590923936,"untreated_03_03_43.S22A.1","untreated",0.126225663074658,0.0516755789158536,-0.00860071697347742,0.0778822004126907,0.0559558782608401,-0.0658175810265409,-0.00251156127908406,0.0416459121118472
"14",9.97776542523624,0.0960530845080733,3967,1731,2236,10794,4529,0.348003568917521,"untreated_03_65_74.S22A.1","untreated",0.0435365609188118,-0.0150862852172547,0.0104908226318377,0.0648536241248595,0.0323062789895132,-0.103726692989215,-0.0636732954005775,-0.00121735985085158
"15",11.6567232675539,-0.0803385052064162,1569,921,648,4358,2612,-0.300235067342689,"untreated_03_82_80.S22A.1","untreated",0.111093905116624,0.0348488871894977,0.0458038856096194,0.107885495307676,0.0486476720688048,-0.0744179442942631,-0.00946915791354697,0.0840318413714139
"16",10.448859455482,0.265359940134322,3619,1976,1643,9513,4379,0.0596506931887317,"untreated_04_33_34.S22A.1","untreated",0.0368060682338697,-0.00305459632695626,0.0262541524665274,0.0545964852454782,-0.012425432731773,-0.13521239037971,-0.0870751719130555,-0.0498487177878968
"17",8.01039430572817,0.125163422892141,3342,1638,1704,8851,4162,-0.0511940889536684,"untreated_04_40_46.S22A.1","untreated",0.031754540699438,0.00360117933235557,0.0113239962634815,0.0767565492146286,-0.000585633320618534,-0.148019442741222,-0.0746987672804971,0.00599880466102121
"18",10.8482595471443,0.0249249916835153,634,403,231,2959,1950,0.870260738202217,"untreated_04_45_09.S22A.1","untreated",0.102263380964742,0.0404316917152994,0.054978352010409,0.0697207818982468,0.0255689975079946,-0.0381839274744592,-0.0295234924267252,0.107158609517242
"19",12.8844030909951,0.36242861722621,2477,1091,1386,6341,3290,0.277061497348037,"untreated_04_48_39.S22A.1","untreated",0.0261954713289679,0.0310793225173013,0.0357593881244914,0.0785116747324636,0.0246431214588525,-0.108362745812992,-0.00176471121669508,0.0133213846001764
"20",12.8906909951005,0.146008029154016,2658,1384,1274,5919,3021,0.358055397980464,"untreated_04_64_14.S22A.1","untreated",0.072510395645595,0.00851695170277283,0.0300289869515971,0.035163425942406,0.0222590901362041,-0.133766182347532,-0.0486682483629512,0.0386504367660419
"21",8.29400542223115,0.00726689615262849,3745,1853,1892,9959,4271,0.777325750351218,"untreated_05_15_73.S22A.1","untreated",0.0602934363047721,0.0179068896585962,0.0298875062545828,0.0715806139898107,0.0421542814666757,-0.14797880669466,-0.0644225140134275,0.00168431199711605
"22",8.54913678618858,0.407273278553949,2691,1384,1307,6024,3243,0.175700209937486,"untreated_05_20_81.S22A.1","untreated",0.0684625014671907,-0.00649133281406625,0.0265113695032809,0.0669238883938192,0.0235892411841758,-0.100065440834759,-0.0311039852274429,0.012444881577149
"23",11.4285714285714,0.00792589635817392,2703,1515,1188,6230,3191,-0.158077018322397,"untreated_05_36_75.S22A.1","untreated",0.154434839793732,0.0972466215468471,0.0426380442572417,0.164245528723504,-0.0145202493650021,-0.068974501346471,-0.0454867899178543,0.0524076813721557
"24",6.11587982832618,0.15096166102833,2244,1304,940,4660,2773,-0.163056129133901,"untreated_05_38_93.S22A.1","untreated",0.0770323915669327,0.0397349587338887,0.0395755687726103,0.10095197899356,0.0526590061300744,-0.115033908936953,-0.0438899028076704,-0.0017729584427959
"25",11.0252808988764,-0.00921210668167766,1223,690,533,4272,2577,0.121148981264779,"untreated_05_39_87.S22A.1","untreated",0.106883876469525,0.0201769875287783,0.0221704707219639,0.086687789270693,0.0325385008048291,-0.115364432280388,-0.0853646571398489,-0.0216724565709035
"26",7.83029612756264,-0.00851232323535672,1284,717,567,3512,2316,0.201307258966792,"untreated_05_47_74.S22A.1","untreated",0.0483248852163165,0.0440784669524575,0.0393479768060221,0.0546150627182517,0.0331150568915935,-0.0640285253805543,-0.0323168202808317,0.0330670183379024
"27",4.74881015335801,0.209536883331542,3523,1466,2057,9455,4356,0.490471710653961,"untreated_05_58_67.S22A.1","untreated",0.0661856037241236,0.0462458186092189,0.0343740132584993,0.122630643045558,0.0097353248850148,-0.100958995803992,-0.0433405099305781,0.00974609707744206
"28",8.54792015846412,-0.0472806031897519,2291,1265,1026,6563,3234,0.593770708699806,"untreated_05_70_10.S22A.1","untreated",0.0663782739067892,0.0165599877208669,0.0431169178313034,0.0956674230289782,0.0220932094133675,-0.122982229742974,-0.0610623435382666,-0.00258690890397945
"29",5.57147770262524,-0.228206749375384,2662,1372,1290,8723,4204,-0.390735352198012,"untreated_06_63_48.S22A.1","untreated",0.141850502311851,0.0464968620905975,0.0518536817462459,0.185937107186203,0.0240379467512611,-0.0475206643132318,-0.0131132383626407,0.0531455885280834
"30",10.4713519616145,0.145219097226894,1034,493,541,3543,2261,-0.253111998092542,"untreated_06_71_90.S22A.1","untreated",0.102020087654083,-3.5853368738209e-05,-0.0165384339288745,0.0981807930231103,0.0443452876957118,-0.11399830150655,-0.0172762222914024,0.0314095936035396
"31",8.67032784157098,-0.162791150053101,2418,1236,1182,6009,3336,0.315681268571431,"untreated_06_73_04.S22A.1","untreated",0.0121416887277275,-0.017328959695949,0.0306439478316226,0.0486130349078224,-0.000985768151046784,-0.0961042368872032,-0.0508535192105235,-0.0202776874673034
"32",4.84927916120577,-0.187285354787767,NA,NA,NA,3052,2047,-0.339831944474265,"untreated_06_85_68.S22A.1","untreated",0.0256788354315345,-0.0128335682568745,-0.00421401888510167,-0.0204057985949275,-0.0462470716078122,-0.117676517701173,-0.0139518272114429,0.00858703602116798
"33",7.3962056640088,0.169718113005393,2941,1766,1175,7274,3653,0.405180061748,"untreated_07_49_58.S22A.1","untreated",0.0886712327811971,0.0755117278025008,0.0879630597056048,0.0792010485221824,-0.00695017280340191,-0.179737561393479,-0.0489573653166688,-0.0141432202336838
"34",4.13385826771654,-0.0563099234966553,1009,384,625,4064,2605,0.261058543368031,"untreated_07_54_31.S22A.1","untreated",0.0769569881104739,0.0325770873588919,0.0285799213753458,0.0554145296739887,0.00660036201265152,-0.163253950593791,-0.102595767069912,0.00724457584644367
"35",9.9594868332208,0.189073506467668,1512,902,610,2962,1944,0.303259812577722,"untreated_07_60_42.S22A.1","untreated",0.00381228250442917,-0.00563015055208041,-0.00126083510452182,0.0164530243821102,0.0104383450288382,-0.0919329173526886,-0.0431283799732736,-0.0381952378042117
